"","X","song","mfcc.1","mfcc.2","mfcc.3","mfcc.4","mfcc.5","mfcc.6","mfcc.7","mfcc.8","mfcc.9","mfcc.10","mfcc.11","mfcc.12","Genre"
"2054",269,"49.mp3",180.964397412997,3.85030480135382,-14.1310877753874,8.02832437667379,-10.7458066868909,15.0122075797375,-16.5614382632602,11.8851893697714,-12.2019495567109,15.4799137494994,-16.4138687038283,13.051402337808,"electronic"
"2055",270,"49.mp3",178.289849208274,2.04252585860491,-16.7528438567048,4.2923475489343,-15.3717385671179,12.9348352080759,-13.584086462136,15.9644401182065,-12.380650229167,14.6749307874597,-14.3333568333983,11.9725963003815,"electronic"
"2056",271,"5.mp3",141.624624962988,20.3047250394765,-2.49996585152217,-5.44205176317573,-8.84087066054887,5.53861363017291,-16.3735469958073,-2.9994760228388,-16.192836719927,-10.4827246512095,-22.220258921406,-4.68946982650257,"electronic"
"2057",272,"5.mp3",148.83912629387,16.0671193400155,0.453860970069746,-5.38160415680584,-14.952492133671,13.0049575470266,-19.9014343865985,2.76738074453045,-17.0708079307638,-11.0435490925151,-23.5897125076925,-0.898949717857665,"electronic"
"2058",273,"5.mp3",154.860503990366,15.1284017449853,-5.78088980030507,-1.32457468561184,-10.8852736683959,9.76549668184249,-14.6119241737835,3.87829550397709,-21.7628498501681,-6.21855691590811,-23.6067554162963,1.83785119681352,"electronic"
"2059",274,"5.mp3",154.168328856813,19.7029573112748,-2.29757545043876,3.66738801215653,-7.68525858877553,12.368884889724,-9.53421128913723,7.33954677836444,-13.7729507077288,-1.58009319763329,-15.556417749292,6.410696187219,"electronic"
"2060",275,"5.mp3",157.387447887716,18.6326073652998,1.98752505116941,3.58519569164388,-11.296068065938,13.3296299214575,-15.3245311451773,7.09776446546458,-18.8795905668045,-2.98363709466299,-15.8786669829367,14.1863355060908,"electronic"
"2061",276,"5.mp3",160.963801181708,16.1968178932885,-0.270812780054614,3.55098848992031,-13.1685403774851,13.664197269594,-13.4684594992205,13.978828197636,-15.364934828354,4.65733732135563,-13.1988672665697,14.2398471333653,"electronic"
"2062",277,"50.mp3",164.71355445141,6.70713921318685,-11.1540390135789,16.4498702112973,-11.8765405875964,23.8452079405671,-8.15499926790567,21.1490741966659,-7.29015686657823,15.9692165241914,-7.34653539143133,15.6311863630064,"electronic"
"2063",278,"50.mp3",169.014103848263,10.4707283052046,-11.0697733196294,12.863710998517,-16.9027012593803,19.7117323542615,-11.8095711552458,19.3128566002115,-9.59047672776662,13.0952349553145,-9.50043898015844,13.2593668091045,"electronic"
