"","mfcc.1","mfcc.2","mfcc.3","mfcc.4","mfcc.5","mfcc.6","mfcc.7","mfcc.8","mfcc.9","mfcc.10","mfcc.11","mfcc.12","Genre"
"42",170.387438345171,8.73447568276178,-16.0746689899791,13.2190618816004,-18.128353703538,8.01873135602551,-21.3794922569841,7.7587371819611,-17.682829701599,13.545562805621,-8.47857445696099,15.3400920557275,"classical"
"53",138.594857015592,25.7908133354316,-1.68233616384772,0.983310180815569,-14.6050476775035,8.45002878407204,-12.0234928468627,-0.965552523047582,-3.7731003296353,-3.14498679629581,-0.218493709799222,-7.23429059107778,"classical"
"54",139.562764392104,26.8941953648337,-1.05901080213122,1.65551637274836,-15.3528224879701,8.86119308537825,-10.5878757947865,2.3870133909578,-2.01837094071535,-2.73319486460337,-2.01423438736682,-6.70477840341041,"classical"
"55",143.491164589607,26.8859476225129,-7.15148867240751,2.17455910777921,-12.5926261539602,6.02968362875023,-12.3568682794849,0.104891366045461,-10.686311964328,-7.33935555073063,-0.0851606605991375,-5.77679400549085,"classical"
"57",139.564114263805,25.584540244784,-3.77751042487552,-0.433448617968308,-12.8679983680799,10.9576699122611,-11.8198211176096,0.169684176567373,-3.18107318557966,-3.82420027036334,-3.79913790961466,-6.55817354029192,"classical"
"59",147.283045605082,23.308072782292,0.552227835179582,8.90298801125682,-11.1918936141563,2.68624415611373,-13.2426271914912,4.82635043638806,-8.95547108162513,-0.716462354698818,-12.0878449428097,-4.32193640763095,"classical"
"60",147.566867452603,22.4425401657766,1.69676046827016,9.37513063209787,-9.5613076744524,3.33007042966967,-13.4631458350682,5.86464949516546,-11.0065908373539,0.440761543533961,-13.0696820909681,-1.38061540000818,"classical"
"64",148.623173069266,22.0608338257724,1.65119012990324,8.98413039210299,-12.2294445357347,2.92103745850081,-14.0615450775511,4.79742167499852,-12.3753904339482,0.217778866307031,-12.462184222873,-0.924064769193689,"classical"
"65",159.312845652518,9.21353883060216,-8.1725745201747,11.5605744093591,-7.26977644328887,11.3746671037438,-13.3184176510843,10.1366167625791,-16.8786710251872,5.25993247613745,-14.4376368962833,10.707858399987,"classical"
"66",166.719725427218,8.5546535773263,-11.7503711854686,11.4614430703825,-14.6957801572667,13.2459286801845,-16.8653754218005,12.5185943549998,-19.0486771262117,7.42928534586422,-16.5282450277844,6.11894034542762,"classical"
"67",160.353718495025,10.0605227930403,-9.28310788674737,13.43189199156,-10.1407582030088,12.2933506950641,-16.1704204110951,11.6433704576963,-15.4677541325923,8.43965009547717,-11.5659418577361,11.5855369551536,"classical"
